
  Memory set to   3.725 GiB by Python driver.
  Threads set to 8 by Python driver.

  Memory set to   3.725 GiB by Python driver.
  Threads set to 8 by Python driver.
>>> Starting Forward Path...
      Step     Time          Energy          fmax
FIRE:    0 21:55:14    -6291.260994        0.832650
FIRE:    1 21:55:17    -6291.284879        1.108651
FIRE:    2 21:55:20    -6291.333863        1.491087
FIRE:    3 21:55:23    -6291.430595        1.711740
FIRE:    4 21:55:26    -6291.571534        1.576160
FIRE:    5 21:55:29    -6291.711167        1.533883
FIRE:    6 21:55:32    -6291.844715        1.809786
FIRE:    7 21:55:35    -6291.996512        0.963147
FIRE:    8 21:55:38    -6292.082381        1.564287
FIRE:    9 21:55:41    -6292.141367        1.810533
FIRE:   10 21:55:43    -6292.188676        1.134744
FIRE:   11 21:55:46    -6292.207731        0.959500
FIRE:   12 21:55:49    -6292.232519        0.642557
FIRE:   13 21:55:52    -6292.253912        0.622187
FIRE:   14 21:55:55    -6292.273946        0.868871
FIRE:   15 21:55:58    -6292.294795        0.778916
FIRE:   16 21:56:01    -6292.312884        0.480862
FIRE:   17 21:56:03    -6292.324044        0.453885
FIRE:   18 21:56:06    -6292.329557        0.587653
FIRE:   19 21:56:09    -6292.330793        0.522880
FIRE:   20 21:56:12    -6292.332887        0.421257
FIRE:   21 21:56:15    -6292.335268        0.334737
FIRE:   22 21:56:18    -6292.337441        0.262419
FIRE:   23 21:56:21    -6292.339230        0.237057
FIRE:   24 21:56:24    -6292.340815        0.255458
FIRE:   25 21:56:27    -6292.342520        0.322749
FIRE:   26 21:56:29    -6292.344795        0.327094
FIRE:   27 21:56:32    -6292.347731        0.255584
FIRE:   28 21:56:35    -6292.351094        0.192030
FIRE:   29 21:56:38    -6292.354474        0.185271
FIRE:   30 21:56:41    -6292.357900        0.239461
FIRE:   31 21:56:44    -6292.362175        0.258735
FIRE:   32 21:56:47    -6292.367653        0.178655
FIRE:   33 21:56:49    -6292.373238        0.145888
FIRE:   34 21:56:52    -6292.378781        0.236162
FIRE:   35 21:56:55    -6292.385136        0.134177
FIRE:   36 21:56:58    -6292.390886        0.194104
FIRE:   37 21:57:01    -6292.396488        0.137955
FIRE:   38 21:57:03    -6292.400546        0.192643
FIRE:   39 21:57:06    -6292.403204        0.099315
FIRE:   40 21:57:09    -6292.403481        0.264914
FIRE:   41 21:57:12    -6292.404239        0.159239
FIRE:   42 21:57:15    -6292.404587        0.085814
FIRE:   43 21:57:18    -6292.404635        0.075702
FIRE:   44 21:57:20    -6292.404707        0.063687
FIRE:   45 21:57:23    -6292.404776        0.059851
FIRE:   46 21:57:26    -6292.404833        0.065028
FIRE:   47 21:57:29    -6292.404891        0.067367
FIRE:   48 21:57:32    -6292.404967        0.061896
FIRE:   49 21:57:35    -6292.405059        0.052461
FIRE:   50 21:57:38    -6292.405159        0.042130
>>> Starting Backward Path...
      Step     Time          Energy          fmax
FIRE:    0 21:57:41    -6291.257676        0.779548
FIRE:    1 21:57:44    -6291.278204        0.942081
FIRE:    2 21:57:47    -6291.316566        1.215066
FIRE:    3 21:57:49    -6291.385959        1.214144
FIRE:    4 21:57:52    -6291.472578        0.967956
FIRE:    5 21:57:55    -6291.538806        1.807234
FIRE:    6 21:57:58    -6291.616969        1.682117
FIRE:    7 21:58:01    -6291.693921        0.586803
FIRE:    8 21:58:04    -6291.717999        1.149214
FIRE:    9 21:58:07    -6291.729854        0.916122
FIRE:   10 21:58:09    -6291.746021        0.617877
FIRE:   11 21:58:12    -6291.757340        0.596248
FIRE:   12 21:58:15    -6291.762405        0.808735
FIRE:   13 21:58:18    -6291.768923        1.072013
FIRE:   14 21:58:21    -6291.781730        0.952951
FIRE:   15 21:58:24    -6291.796777        0.554724
FIRE:   16 21:58:26    -6291.808698        0.459360
FIRE:   17 21:58:29    -6291.817345        0.792021
FIRE:   18 21:58:32    -6291.830773        0.834056
FIRE:   19 21:58:35    -6291.850932        0.454310
FIRE:   20 21:58:38    -6291.867688        0.650385
FIRE:   21 21:58:41    -6291.885016        0.718970
FIRE:   22 21:58:43    -6291.907132        0.278738
FIRE:   23 21:58:46    -6291.922296        0.589386
FIRE:   24 21:58:49    -6291.942586        0.325728
FIRE:   25 21:58:52    -6291.954320        0.606764
FIRE:   26 21:58:55    -6291.965581        0.448840
FIRE:   27 21:58:58    -6291.968336        0.236310
FIRE:   28 21:59:00    -6291.969415        0.161027
FIRE:   29 21:59:03    -6291.969613        0.137521
FIRE:   30 21:59:06    -6291.969931        0.117167
FIRE:   31 21:59:09    -6291.970261        0.103371
FIRE:   32 21:59:12    -6291.970546        0.112698
FIRE:   33 21:59:14    -6291.970815        0.126883
FIRE:   34 21:59:17    -6291.971132        0.137691
FIRE:   35 21:59:20    -6291.971526        0.139971
FIRE:   36 21:59:23    -6291.972013        0.131263
FIRE:   37 21:59:26    -6291.972534        0.113783
FIRE:   38 21:59:29    -6291.973063        0.100684
FIRE:   39 21:59:31    -6291.973663        0.101563
FIRE:   40 21:59:34    -6291.974378        0.099133
FIRE:   41 21:59:37    -6291.975201        0.084321
FIRE:   42 21:59:40    -6291.976119        0.090554
FIRE:   43 21:59:43    -6291.977082        0.097883
FIRE:   44 21:59:46    -6291.978184        0.064501
FIRE:   45 21:59:48    -6291.979216        0.080439
FIRE:   46 21:59:51    -6291.980392        0.048604
